rank,product,metric,fold,cutoff,model,MAE,RMSE,sMAPE,ActualSum,ForecastSum,SumPctErr
3,Fresh Fruit Cake,totalValue,EVAL,2026-03-16,Prophet,4397.694169743884,4912.100409187873,40.48068504316316,117903.69,175073.7142066705,48.48874891589101
3,Fresh Fruit Cake,totalValue,EVAL,2026-03-16,AutoARIMA,6321.449338863166,6572.893925241083,53.045733195054304,117903.69,200082.53140522112,69.69997411041258
3,Fresh Fruit Cake,totalValue,EVAL,2026-03-16,AutoETS,2874.990170838594,3421.2635658657323,29.17524418214621,117903.69,155278.5622209017,31.699493222732627
3,Fresh Fruit Cake,totalValue,EVAL,2026-03-16,Croston,2715.2424681342227,3288.16325103566,27.870488587439908,117903.69,153201.8420857449,29.93812329855401
3,Fresh Fruit Cake,totalValue,EVAL,2026-03-16,LightGBM,1543.3424102542367,2328.712112675299,17.02471304438372,117903.69,126175.63511042544,7.0158492159367025
4,Ferrero Rocher Cake,totalValue,EVAL,2026-03-16,Prophet,4243.745181213106,5337.097823306849,32.73847396779293,175205.99999999997,201086.60404560532,14.771528398345577
4,Ferrero Rocher Cake,totalValue,EVAL,2026-03-16,AutoARIMA,3922.2996039426002,5141.284831686295,30.936299846305953,175205.99999999997,172977.45455941488,-1.2719572620715562
4,Ferrero Rocher Cake,totalValue,EVAL,2026-03-16,AutoETS,3846.6583028481527,5270.080960768804,30.249055114632924,175205.99999999997,171745.36681866198,-1.975179606484935
4,Ferrero Rocher Cake,totalValue,EVAL,2026-03-16,Croston,3832.6659605233485,5264.028531322875,30.11428405588824,175205.99999999997,174110.07267155396,-0.6255078755556357
4,Ferrero Rocher Cake,totalValue,EVAL,2026-03-16,LightGBM,5674.4977911475535,7135.997718029257,47.635921922478474,175205.99999999997,121213.43483759896,-30.816618815794563
5,Belgium Choco Mousse Cake,totalValue,EVAL,2026-03-16,Prophet,4173.195239931354,4393.100256441867,67.99120853903612,59413.79,113665.32811910761,91.31135737866177
5,Belgium Choco Mousse Cake,totalValue,EVAL,2026-03-16,AutoARIMA,3263.5893401038584,3725.0520751902127,63.614607865789175,59413.79,87278.63789679315,46.89963036660875
5,Belgium Choco Mousse Cake,totalValue,EVAL,2026-03-16,AutoETS,2824.997594147991,3346.5784358656692,53.46392158177562,59413.79,96138.75872392388,61.81219667003886
5,Belgium Choco Mousse Cake,totalValue,EVAL,2026-03-16,Croston,2837.6289171967987,3357.2479342715587,53.61465690515884,59413.79,96302.96592355841,62.08857560434776
5,Belgium Choco Mousse Cake,totalValue,EVAL,2026-03-16,LightGBM,3587.065393333554,3836.6110398641754,62.22189391344918,59413.79,106045.64011333621,78.48657712853566
6,Biscoff Jar Cake,totalValue,EVAL,2026-03-16,Prophet,2134.9737147780406,2401.0397499014994,46.486986509531114,23959.86,20250.54115302018,-15.481387816872966
6,Biscoff Jar Cake,totalValue,EVAL,2026-03-16,AutoARIMA,1263.346625789324,1491.4220560729004,26.749739580470255,23959.86,28071.872541627592,17.162089184275665
6,Biscoff Jar Cake,totalValue,EVAL,2026-03-16,AutoETS,1512.9120913036113,1592.6428411226414,31.29748043579072,23959.86,27345.409553989157,14.130089048889086
6,Biscoff Jar Cake,totalValue,EVAL,2026-03-16,Croston,1513.378374118212,1592.883760784919,31.30598923562524,23959.86,27341.4593529553,14.11360230383357
6,Biscoff Jar Cake,totalValue,EVAL,2026-03-16,LightGBM,1634.3197213135588,2290.2295551930033,31.340112520947294,23959.86,29639.980496814685,23.70681839048594
7,Dream Cake,totalValue,EVAL,2026-03-16,Prophet,1396.680331700468,1724.6805244491177,27.35072343804992,67150.49,75006.01353927032,11.698386027071905
7,Dream Cake,totalValue,EVAL,2026-03-16,AutoARIMA,2253.1041582589105,2604.4959749447657,39.14146213989455,67150.49,95596.9702496142,42.362282463782755
7,Dream Cake,totalValue,EVAL,2026-03-16,AutoETS,2248.4391725733517,2599.865759070507,39.082403028068036,67150.49,95525.2991058997,42.25555034058529
7,Dream Cake,totalValue,EVAL,2026-03-16,Croston,2246.579826513954,2598.021232202656,39.05884850333903,67150.49,95496.73278916893,42.2130095985434
7,Dream Cake,totalValue,EVAL,2026-03-16,LightGBM,1714.1587343411497,2105.7567064556943,32.20178703194387,67150.49,79572.68007545747,18.499031169329456
8,Tiramisu Cake,totalValue,EVAL,2026-03-16,Prophet,5764.897026624609,5940.2706449245325,81.38322019969438,58747.6,133691.2613461199,127.56889021188931
8,Tiramisu Cake,totalValue,EVAL,2026-03-16,AutoARIMA,1651.8134364550972,1746.528245203369,36.403989739237204,58747.6,67968.19867680734,15.69527721440083
8,Tiramisu Cake,totalValue,EVAL,2026-03-16,AutoETS,1605.7932011208131,1782.8411582641354,35.562054760478205,58747.6,67226.87819788346,14.43340357373486
8,Tiramisu Cake,totalValue,EVAL,2026-03-16,Croston,1608.9176819872,1785.8291985209717,35.61728593643216,58747.6,67332.48565116736,14.613168284606278
8,Tiramisu Cake,totalValue,EVAL,2026-03-16,LightGBM,2799.604414604394,3522.453983903179,50.16515707575107,58747.6,94805.8674984467,61.378281833550155
